caldt,sprtrn
01/29/1993,0.007046
02/26/1993,0.010484
03/31/1993,0.018697
04/30/1993,-0.025417
05/28/1993,0.022717
06/30/1993,0.000755
07/30/1993,-0.005327
08/31/1993,0.034432
09/30/1993,-0.009988
10/29/1993,0.019393
11/30/1993,-0.012911
12/31/1993,0.010091
01/31/1994,0.032501
02/28/1994,-0.030045
03/31/1994,-0.045746
04/29/1994,0.011531
05/31/1994,0.012419
06/30/1994,-0.026812
07/29/1994,0.031467
08/31/1994,0.037643
09/30/1994,-0.026898
10/31/1994,0.020834
11/30/1994,-0.039505
12/30/1994,0.012299
01/31/1995,0.024278
02/28/1995,0.036074
03/31/1995,0.027329
04/28/1995,0.027960
05/31/1995,0.036312
06/30/1995,0.021279
07/31/1995,0.031776
08/31/1995,-0.000320
09/29/1995,0.040098
10/31/1995,-0.004979
11/30/1995,0.041049
12/29/1995,0.017444
01/31/1996,0.032617
02/29/1996,0.006934
03/29/1996,0.007917
04/30/1996,0.013431
05/31/1996,0.022853
06/28/1996,0.002257
07/31/1996,-0.045748
08/30/1996,0.018814
09/30/1996,0.054173
10/31/1996,0.026131
11/29/1996,0.073376
12/31/1996,-0.021505
01/31/1997,0.061317
02/28/1997,0.005928
03/31/1997,-0.042614
04/30/1997,0.058406
05/30/1997,0.058577
06/30/1997,0.043453
07/31/1997,0.078123
08/29/1997,-0.057446
09/30/1997,0.053154
10/31/1997,-0.034478
11/28/1997,0.044587
12/31/1997,0.015732
01/30/1998,0.010150
02/27/1998,0.070449
03/31/1998,0.049946
04/30/1998,0.009076
05/29/1998,-0.018826
06/30/1998,0.039438
07/31/1998,-0.011615
08/31/1998,-0.145797
09/30/1998,0.062396
10/30/1998,0.080294
11/30/1998,0.059126
12/31/1998,0.056375
01/29/1999,0.041009
02/26/1999,-0.032283
03/31/1999,0.038794
04/30/1999,0.037944
05/28/1999,-0.024970
06/30/1999,0.054438
07/30/1999,-0.032046
08/31/1999,-0.006254
09/30/1999,-0.028552
10/29/1999,0.062539
11/30/1999,0.019062
12/31/1999,0.057844
01/31/2000,-0.050904
02/29/2000,-0.020108
03/31/2000,0.096720
04/28/2000,-0.030796
05/31/2000,-0.021915
06/30/2000,0.023934
07/31/2000,-0.016341
08/31/2000,0.060699
09/29/2000,-0.053483
10/31/2000,-0.004949
11/30/2000,-0.080069
12/29/2000,0.004053
01/31/2001,0.034637
02/28/2001,-0.092291
03/30/2001,-0.064205
04/30/2001,0.076814
05/31/2001,0.005090
06/29/2001,-0.025004
07/31/2001,-0.010772
08/31/2001,-0.064108
09/28/2001,-0.081723
10/31/2001,0.018099
11/30/2001,0.075176
12/31/2001,0.007574
01/31/2002,-0.015574
02/28/2002,-0.020766
03/28/2002,0.036739
04/30/2002,-0.061418
05/31/2002,-0.009081
06/28/2002,-0.072465
07/31/2002,-0.078995
08/30/2002,0.004881
09/30/2002,-0.110013
10/31/2002,0.086436
11/29/2002,0.057070
12/31/2002,-0.060333
01/31/2003,-0.027415
02/28/2003,-0.017004
03/31/2003,0.008358
04/30/2003,0.081044
05/30/2003,0.050899
06/30/2003,0.011322
07/31/2003,0.016224
08/29/2003,0.017873
09/30/2003,-0.011944
10/31/2003,0.054962
11/28/2003,0.007129
12/31/2003,0.050765
01/30/2004,0.017276
02/27/2004,0.012209
03/31/2004,-0.016359
04/30/2004,-0.016791
05/28/2004,0.012083
06/30/2004,0.017989
07/30/2004,-0.034291
08/31/2004,0.002287
09/30/2004,0.009364
10/29/2004,0.014014
11/30/2004,0.038595
12/31/2004,0.032458
01/31/2005,-0.025290
02/28/2005,0.018903
03/31/2005,-0.019118
