Month,ZipCode,ZipName,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,78701.0,"Austin, TX",573400.0,-0.0443,-0.0692,139.0,0.0,0.1681,80.0,0.0256,,28.0,0.0769,-0.3913,0.0,,-1.0,32.0,0.0,0.0,22.0,0.0476,0.2222,1033600.0,0.0248,-0.0628,161.0,0.0063,0.1752,0.1583,0.0072,0.007
2017-09-01,78702.0,"Austin, TX",435000.0,-0.0323,0.024,179.0,-0.0272,0.1933,62.0,0.2157,0.2653,52.0,0.0833,0.04,6.0,2.0,2.0,90.0,-0.0625,0.125,75.0,-0.026,0.1905,484500.0,0.009,0.0655,254.0,-0.0268,0.1925,0.419,0.0005,-0.001
2017-09-01,78703.0,"Austin, TX",937500.0,0.0073,-0.0409,138.0,0.0222,-0.0072,79.0,0.0972,0.1791,44.0,0.5714,-0.12,2.0,,,52.0,0.1818,0.1304,25.0,-0.1071,-0.1071,1138000.0,-0.0249,-0.1214,163.0,0.0,-0.024,0.1812,-0.0262,-0.0203
2017-09-01,78704.0,"Austin, TX",599000.0,0.0059,-0.0007,287.0,-0.0528,0.2371,59.0,-0.0328,-0.0923,88.0,-0.1852,0.1892,4.0,0.0,0.0,122.0,0.0339,0.1961,78.0,-0.1959,0.0541,706500.0,0.0154,0.0711,365.0,-0.0875,0.1928,0.2718,-0.0484,-0.0472
2017-09-01,78705.0,"Austin, TX",349000.0,0.0169,-0.2308,36.0,-0.1,-0.1628,36.0,-0.1628,,10.0,-0.2857,0.0,0.0,,,4.0,-0.6,-0.6,11.0,-0.2143,0.1,403700.0,0.0156,-0.3494,47.0,-0.1296,-0.1132,0.3056,-0.0444,0.073
2017-09-01,78717.0,"Austin, TX",363300.0,-0.006,0.0467,120.0,-0.1111,0.1009,61.0,0.1961,0.4524,26.0,-0.5806,-0.0714,0.0,-1.0,,40.0,-0.3548,-0.2308,33.0,-0.3654,-0.0294,394400.0,-0.0005,0.0428,153.0,-0.1818,0.0699,0.275,-0.1102,-0.0369
2017-09-01,78721.0,"Austin, TX",366500.0,-0.0113,,59.0,0.0727,,55.0,0.375,,22.0,0.1,0.5714,0.0,,-1.0,28.0,-0.125,0.5556,18.0,-0.3333,0.0588,421500.0,0.0149,0.2605,77.0,-0.061,0.3276,0.3051,-0.1858,-0.1095
2017-09-01,78723.0,"Austin, TX",413700.0,-0.0323,0.1121,101.0,0.1348,0.0745,49.0,-0.02,-0.02,36.0,-0.3077,-0.1429,0.0,-1.0,-1.0,44.0,0.5714,0.0,33.0,-0.1951,-0.1951,452700.0,-0.0098,0.1109,134.0,0.0308,-0.0074,0.3267,-0.1339,-0.1094
2017-09-01,78726.0,"Austin, TX",494500.0,0.0411,-0.0052,45.0,-0.1176,0.125,77.0,-0.0375,-0.0941,10.0,-0.375,0.0,0.0,,,20.0,0.1111,9.0,11.0,0.2222,-0.1538,620700.0,0.0508,0.054,56.0,-0.0667,0.0566,0.2444,0.068,-0.0806
2017-09-01,78727.0,"Austin, TX",344100.0,0.0475,0.0494,42.0,0.2,-0.2881,24.0,-0.2258,-0.4545,40.0,0.5385,0.8182,2.0,,0.0,22.0,0.8333,-0.4211,30.0,-0.0909,0.25,361100.0,-0.015,0.0201,72.0,0.0588,-0.1325,0.7143,-0.2286,0.3075
